pays,img_src,description_pays,accessibilite,description_ville,continent,score,nom_ville
Afrique du Sud,https://api.mobeetravel.com/assets/f91b8558-b38d-4ae9-91fc-1b7560e6a364,"L'Afrique du Sud, un pays situé à la pointe du continent africain, reconnu pour sa diversité culturelle, ses paysages à couper le souffle et son histoire complexe. L'Afrique du Sud offre une multitude d'expériences passionnantes, allant des safaris dans les parcs nationaux, où l'on peut observer les célèbres Big Five, à la découverte des villes animées telles que Johannesburg et Le Cap, qui regorgent de musées, de galeries d'art et de restaurants réputés. Le pays est également béni par des panoramas naturels exceptionnels, comme le célèbre parc national Kruger, la majestueuse chaîne de montagnes du Drakensberg et les plages spectaculaires de la côte atlantique et de l'océan Indien. L'Afrique du Sud offre également l'opportunité de découvrir son histoire tumultueuse, en visitant des sites tels que l'emblématique musée de l'Apartheid et l'île de Robben Island, où Nelson Mandela a été emprisonné. Avec sa riche diversité, son patrimoine culturel et sa beauté naturelle, l'Afrique du Sud est une destination captivante pour les voyageurs du monde entier.
 
En ce qui concerne l'accessibilité pour les personnes handicapées, l'Afrique du Sud a fait des progrès significatifs pour améliorer l'accessibilité dans les domaines publics et touristiques. Les transports publics, tels que les trains et les bus, offrent également des services adaptés aux personnes handicapées dans certaines régions. Les parcs nationaux sud-africains, tels que le parc national Kruger, disposent de lodges et de sentiers accessibles aux personnes handicapées, permettant à tous les visiteurs de profiter de la nature et de la faune sauvage. ","Concernant son accessibilité, le pays est l'un des plus adapté pour les personnes à mobilité réduite et en situation de handicap sur le continent africain. Ses infrastructures sont en perpétuel développement pour améliorer la circulation des personnes en fauteuil roulant ou malvoyantes. ","Bordé par 2 océans, Atlantique et Indien, ce pays aux paysages aussi beaux que différents vous subjuguera par son histoire et sa culture. Entre désert, plages, montagnes, savane et grande ville à l'Américaine, ce pays incroyable vous réserve bien des surprises. Visitez également des villages typiques, et découvrez la culture zoulou, pendant un moment qui vous donnera l'impression d'être hors du temps. N'oubliez pas d'explorer Cape Town, la célèbre capitale, aux 2 facettes bien distinctes, entre richesse et pauvreté. Enfin, ne quittez pas l'Afrique du Sud sans explorer l'une de ses réserves, et tentez d'apercevoir le Big 5 pendant une excursion inoubliable au milieu des girafes, des lions ou encore des éléphants. Un voyage magique vous attend en Afrique du Sud.",Afrique,99,Afrique du sud
Albanie,https://api.mobeetravel.com/assets/d943e3d3-7aa0-4ce7-9fb9-387077a68e51,"L'Albanie, un pays situé dans les Balkans, doté d'une beauté naturelle époustouflante et d'une riche histoire. Bordé par la mer Adriatique et la mer Ionienne, l'Albanie offre des plages immaculées, des montagnes majestueuses, des lacs pittoresques et des parcs nationaux préservés. Les visiteurs peuvent explorer les charmantes villes historiques telles que Tirana, la capitale animée, ainsi que Berat et Gjirokastër, qui sont inscrites au patrimoine mondial de l'UNESCO. L'Albanie est également réputée pour son hospitalité chaleureuse, sa cuisine savoureuse et sa culture vibrante. Que vous souhaitiez vous détendre sur les plages de la Riviera albanaise, explorer les vestiges antiques ou partir à l'aventure dans les montagnes, l'Albanie offre une expérience unique et mémorable.
En ce qui concerne l'accessibilité pour les personnes handicapées, l'Albanie a fait des progrès significatifs pour améliorer l'accessibilité et l'inclusion. De nombreux hôtels, restaurants, attractions touristiques et transports publics ont été adaptés pour répondre aux besoins des personnes handicapées. Les grandes villes, telles que Tirana, offrent des infrastructures accessibles, telles que des rampes d'accès, des ascenseurs adaptés et des toilettes accessibles. ","L'Albanie, avec ses rues pavées et étroites est difficilement accessible pour les personnes en fauteuil roulant. Vous trouverez toutefois des sites adaptés à votre handicap et vous pourrez profiter de votre séjour accessible PMR accompagné d'une personne qui vous aidera.","L'Albanie est la nouvelle destination qui fait rêver en Europe. Entre ses eaux turquoises, ses magnifiques montagnes, ses parcs nationaux et ses villes somptueuses inscrites au patrimoine de l'UNESCO, ce pays vous garantie un séjour plaisant et dépaysant. Découvrez l'histoire de l'Albanie, frontière entre l'orient et le continent européen, longtemps théâtre d'une dictature communiste, qui aujourd'hui évolue par ses richesses naturelles et culturelles. N'attendez plus, et réservez vite votre prochain séjour en Albanie, une destination paradisiaque, à moindre coût.",Europe,58,Albanie
Allemagne,https://api.mobeetravel.com/assets/d0144ade-9219-4a0d-96e5-3dbd71af55f1,"L'Allemagne, située au cœur de l'Europe, est un pays qui séduit par sa riche histoire, sa culture dynamique et sa diversité naturelle. Des villes animées comme Berlin, Munich et Hambourg aux charmants villages pittoresques de la Forêt-Noire et de la Route Romantique, chaque région de l'Allemagne offre une expérience unique. Le pays est réputé pour son architecture impressionnante, ses musées de renommée mondiale, sa scène artistique florissante et sa cuisine savoureuse, des délices culinaires bavarois aux délicieuses saucisses et bières traditionnelles. Que vous soyez passionné d'histoire, d'art, de nature ou de divertissement, l'Allemagne ne manquera pas de vous captiver et de vous offrir des moments mémorables.
 
L'Allemagne s'engage activement à rendre ses villes, ses sites touristiques et ses infrastructures accessibles aux personnes à mobilité réduite (PMR). De nombreuses villes allemandes disposent de transports en commun accessibles, avec des arrêts équipés de rampes d'accès et des véhicules adaptés. De plus, de nombreux musées, galeries d'art et monuments historiques ont mis en place des installations spécifiques pour garantir une accessibilité optimale, notamment des ascenseurs, des rampes d'accès et des toilettes adaptées. Les hôtels et les hébergements en Allemagne sont également de plus en plus conscients de l'importance de l'accessibilité, offrant des chambres adaptées et des installations pour les personnes à mobilité réduite. Que ce soit pour explorer les rues pavées des villes, visiter des châteaux historiques ou profiter de la nature préservée, l'Allemagne s'efforce de créer une expérience inclusive pour tous les voyageurs.","Concernant l’accessibilité pour les personnes handicapées, la ville est très bien desservie par ses transports en commun (équipés pour permettre l’accès aux PMR), le rues sont larges et les trottoirs sont rabaissés pour faciliter la circulation des personnes en fauteuils roulants. Berlin fait partie des destinations pour tous.","Berlin, capitale allemande marquée par l’histoire, vous fera voyager dans le temps. L’espace d’un instant, replongez-vous au coeur de l’occupation soviétique avec le mur de Berlin, le mémorial du mur, Checkpoint Charlie et bien d’autres sites touristiques encrés dans l’histoire de la Seconde Guerre Mondiale. Devenue une ville artistique et underground, Berlin s’est créée une véritable culture, ou vous apprécierez alors de partir entre amis. Vous y retrouverez également de nombreux musées et de grands espaces puisqu’il y a la présence de nombreux lacs et rivières.",Europe,60,Berlin
Angleterre,https://api.mobeetravel.com/assets/49089759-c647-4403-85ee-6860d45f1c36,"Pays aux plaines d’herbe verte bordées par les falaises blanches et aux maisons de briques rouges, l’Angleterre, située au Nord Ouest de l’Europe est une destination incontournable. Des petites maisons colorées en ville aux grandes maisons aux jardins parfaitement entretenus, l’atmosphère presque trop parfaite donne à l’Angleterre son côté “cosy”. Boire une tasse de thé, manger un “fish and chips” et découvrir le patrimoine riche de la Grande Bretagne et la culture des habitants feront partie de vos activités principales pendant votre séjour. L’Angleterre est une destination unique à ne pas manquer, même après le Brexit.
L’Angleterre est assez accessible aux personnes à mobilité réduite et en situation de handicap. En effet, les transports sont adaptés aux personnes handicapées. Certaines infrastructures sont accessibles aux personnes en fauteuil roulant mais elles devront prévoir leurs visites pour avoir la certitude de l’accessibilité des lieux. Prêt pour votre prochain séjour adapté aux PMR en Angleterre ?","Si vous souhaitez prendre un taxi à Londres, il faut s'orienter vers les taxis de couleurs noirs, les fameux ""black cab"", car ce sont les seuls disposant de rampes pour les fauteuils roulants électriques. Vous en trouverez facilement un petit peu partout dans la ville. Ils ne coûtent pas plus cher qu'un Uber et vous ne serez pas déçu. Toutefois, si vous avez un fauteuil roulant imposant, cela risque d'être un peu serré. Le bus est à  privilégier pour vos déplacements à Londres. En effet, seule 2 lignes de bus ne sont pas accessibles PMR (les lignes 9 et 15). Ils disposent d’un emplacement réservé aux personnes disposant d'un fauteuil roulant. Vous n'aurez donc que l'embarras du choix pour visiter la ville ! Enfin, le métro est quant à lui, très peu accessible puisque seulement 27 stations sont entièrement adaptées (sur près de 300...). Concernant la circulation en fauteuil roulant en ville, il sera plutôt facile de vous déplacer, puisque ses trottoirs sont plutôt bien entretenus et il y a peu de dénivelé. Les personnes handicapées pourront donc visiter Londres facilement.","Rendez-vous à Londres, la capitale du Royaume-Uni et l'une des villes les plus touristiques au monde. Vous pourrez profiter de son ambiance cosmopolite, visiter ses quartiers tous très marqués, découvrir ses musées et sites touristiques emblématiques ou encore passer de bons moments dans les célèbres pubs anglais typiques. Vivez au rythme londonien pendant quelques jours et imprégnez-vous de la culture anglo-saxonne.",Europe,58,Londres
Argentine,https://api.mobeetravel.com/assets/ff2b8bb9-a3f1-4bb9-bb27-1a08f8b9d01c,"L'Argentine, un vaste pays d'Amérique du Sud connu pour sa diversité culturelle, ses paysages époustouflants et sa passion pour le football. L'Argentine offre une multitude d'expériences captivantes, allant des vastes plaines de la Pampa aux majestueuses montagnes des Andes et aux impressionnantes chutes d'Iguazú. Les visiteurs peuvent explorer la vibrante capitale de Buenos Aires, avec ses quartiers animés tels que La Boca et San Telmo, son architecture élégante et son riche héritage historique. L'Argentine est également célèbre pour sa cuisine délicieuse, avec des spécialités telles que les steaks juteux, les empanadas et le célèbre mate, une boisson traditionnelle à base de plantes. Que vous soyez intéressé par la nature, la culture ou la gastronomie, l'Argentine offre une expérience unique et envoûtante qui ne manquera pas de vous séduire.
 
En ce qui concerne l'accessibilité pour les personnes handicapées, l'Argentine a réalisé des progrès significatifs pour améliorer l'accessibilité et l'inclusion. Les grandes villes argentines, telles que Buenos Aires, proposent des rampes d'accès, des ascenseurs adaptés et des toilettes accessibles dans de nombreux établissements publics et privés. ","Concernant l'accessibilité de la ville, malheureusement les trottoirs sont étroits et souvent bondés, avec des revêtements inégaux, les bus ne sont pas tous équipés pour accueillir des personnes en fauteuil roulant et les infrastructures sont souvent accessibles, mais leurs toilettes ne le sont pas forcément. Votre voyage à Buenos Aires pourra poser quelques problèmes, mais les personnes handicapées accompagnées pourront visiter la ville facilement.","Partez à la découverte de Buenos Aires, l'une des villes les plus ""européennes"" d'Amérique du Sud, tant par son architecture que par son ambiance. Malgré vos premières impressions qui pourront vous laisser croire à un manque d'exotisme, votre séjour dans la capitale vous démontrera le contraire grâce à son peuple passionné, ses rues vibrantes, ses terrasses de cafés et restaurants ou encore sa culture. Pendant votre séjour, vous vivrez au rythme du tango, et si vous pensiez que la France était supportrice de football, attendez de découvrir la passion, presque élevée au rang de religion, en Argentine.",Amérique du Sud,50,Buenos aires
Australie,https://api.mobeetravel.com/assets/6e0337bb-b431-4815-97cb-04de65a78ae4,"L'Australie est connue pour sa beauté naturelle époustouflante, ses vastes étendues désertiques, ses plages immaculées et sa faune unique. Avec une population d'environ 25 millions d'habitants, l'Australie offre une combinaison fascinante de paysages variés, allant des emblématiques rochers d'Uluru au cœur du désert rouge, aux récifs coralliens spectaculaires de la Grande Barrière de Corail, en passant par les forêts tropicales luxuriantes du Queensland. Les villes australiennes, comme Sydney, Melbourne et Brisbane, sont animées et multiculturelles, offrant une riche scène artistique, des restaurants internationaux et une vie urbaine dynamique. L'Australie est également réputée pour son accueil chaleureux, sa culture aborigène riche et son mode de vie décontracté.
En ce qui concerne l'accessibilité pour les personnes handicapées, l'Australie a mis en place des normes élevées pour garantir l'inclusion et l'égalité des droits pour tous.", ,"Partez pour la plus grande ville d’Australie: Sydney. Ville cosmopolite de plus de 6 millions d’habitants, elle est la destination la plus populaire d’Australie. Chaque année, 30 000 français font le grand saut et partent à la découverte de cette ville.",Océanie,61,Sydney
Autriche,https://api.mobeetravel.com/assets/5f794e59-07b3-45e1-aca0-a95a9c14f479,"L’Autriche est un pays très charmant, laissez-vous tenter par la découverte de son patrimoine exceptionnel. Explorez sa nature préservée entre lacs, montagnes et forêts et partez à la rencontre des habitants et de leur culture sans oublier de déguster les délicieuses spécialités culinaires de ce pays, comme la soupe de saumon (Lohikeitto) ou les saucisses à griller (Grillimakkara). Profitez de vos vacances adaptées aux personnes handicapées en toute sérénité.
         L’Autriche est un pays accessible et adapté aux personnes à mobilité réduite et en situation de handicap. En effet, les villes et les transports sont adaptés à vos besoins spécifiques (rampes d’accès, larges trottoirs) et vous aurez accès à de nombreuses activités adaptées pour personnes handicapées. Ce pays montagneux offre de belles promenades en montagne,  si vous aimez la nature et la découverte des sentiers battus, nous vous conseillons d’être accompagné d’un professionnel qui saura vous guider et vous faire découvrir les joyaux de ce pays.  ","Les transports en commun de la ville sont adaptés pour accueillir des personnes en situation de handicap, les trottoirs sont abaissés aux croisements pour permettre aux personnes en fauteuil roulant de circuler aisément et les infrastructures sont en règle générale accessibles. Les personnes à mobilité réduite peuvent donc visiter Vienne plutôt facilement.","Cette ville au charme spécial vous attend pour un séjour mémorable. Entre sa gastronomie incroyable inspirée par la cuisine du monde entier, ses soirées à l'opéra, son centre-ville historique, sa somptueuse cathédrale et ses fameux cafés viennois, la capitale autrichienne risque de vous surprendre. Laissez-vous emporter par la richesse culturelle de Vienne avec ses musées et ses célèbres compositeurs comme Strauss, Beethoven ou Mozart. Visitez cette ville ensorcelante et rentrez avec des souvenirs inoubliables.",Europe,97,Vienne
Bahamas,https://api.mobeetravel.com/assets/0a272ffc-5f5c-49d2-a0a0-7101de8a36e8,"Les Bahamas, un archipel paradisiaque situé dans les Caraïbes. Les Bahamas sont célèbres pour leurs eaux turquoise cristallines, leurs plages de sable blanc et leurs paysages spectaculaires. Avec plus de 700 îles et îlots, les Bahamas offrent une variété d'expériences, allant des stations balnéaires luxueuses aux îles plus isolées et préservées. Nassau, la capitale, est animée avec ses marchés colorés et son architecture coloniale, tandis que les îles Exumas et les Abacos sont des destinations prisées pour leur beauté naturelle préservée et leurs activités nautiques. Les Bahamas sont un paradis pour les amateurs de plongée avec tuba, de plongée sous-marine et de sports nautiques, offrant des récifs coralliens spectaculaires et une vie marine abondante.
 
En ce qui concerne l'accessibilité pour les personnes handicapées, les Bahamas font des efforts pour améliorer l'inclusion et l'accessibilité pour tous. De nombreuses stations balnéaires et hôtels proposent des chambres et des installations adaptées aux personnes handicapées, avec des rampes d'accès, des ascenseurs et des équipements spécifiques. ","Côté accessibilité, les îles des Bahamas sont majoritairement plates et donc plutôt faciles d'accès pour les personnes en fauteuil roulant. Visiter les alentours se feront sans encombre pour les PMR.","Entre ses dégradés de bleus qui se déclinent à l'infini, ses somptueuses plages de sable blanc et sa nature magnifique, les Bahamas vous offrent un lieu de vacances paradisiaque pour des moments de détente et de farniente. Partez pour ce pays où règne la joie et la bonne humeur, où vous serez accueilli très chaleureusement et assisterez à des spectacles incroyables de danses et de couleurs. Rendez-vous dans l'océan le plus clair au monde pour vivre une expérience inoubliable. ",Amérique du Nord,57,Bahamas
Belgique,https://api.mobeetravel.com/assets/738a11f6-3d15-4779-bb92-78486794d8c6,"Connue aussi sous le nom de « plat pays », la Belgique, pays d’Europe de l’ouest est située à la frontière Nord de la France. Connue pour ses frites, son art et l’humour décalé de ses habitants, la Belgique abrite de vastes forêts invitant les amoureux de la nature à les explorer, ainsi que des villes au patrimoine architectural très riche, aux musées divers et aux marchés aux fleurs, le tout dans une ambiance chaleureuse et festive. N’hésitez pas et réserver votre séjour accessible aux PMR en Belgique. 
 
La Belgique n’est pas un pays très accessible aux personnes à mobilité réduite et en situation de handicap. Entre les transports pas toujours adaptés et les rues généralement pavées, les personnes en fauteuil roulant pourront rencontrer quelques difficultés. Nous conseillons donc aux personnes handicapées de voyager accompagnées. De plus, nous vous recommandons fortement de vérifier l’accessibilité des sites que vous souhaitez visiter.","Côté accessibilité, la ville fait de nombreux investissements pour rendre l’intégralité de ses transports en commun accessible aux PMR. Toutefois, vous trouverez toujours une solution pour vous déplacer, puisque la ville met en place des navettes pour les personnes en fauteuil roulant si la destination finale n’est pas desservie par les transports en commun. Les bâtiments quant à eux sont en règle générale adaptés aux personnes à mobilité et en situation de handicap. Les personnes handicapées pourront donc visiter la ville aisément.","Découvrez Bruxelles le temps d’un séjour chaleureux en terre belge. Vous pouvez être sur de ne pas vous ennuyer dans cette capitale, entre richesses historique, culturelle, architecturale et gastronomique, Bruxelles vous propose toutes sortes d’activités et de visites. En plus d’explorer la ville, vous pourrez rencontrer ses habitants, connus pour être très accueillants et chaleureux. Imprégnez-vous de la culture belge le temps d’un séjour convivial en famille, entre amis ou en couple, et profitez de tout ce dont la ville pourra vous offrir !",Europe,63,Bruxelles
Brésil,https://api.mobeetravel.com/assets/85bccce4-2db4-4f02-b04c-76e21de07f3d,"Le Brésil, un pays fascinant situé en Amérique du Sud. Le Brésil est réputé pour sa diversité culturelle, ses paysages spectaculaires et sa passion pour la musique et la danse. Des plages tropicales de Rio de Janeiro à la forêt amazonienne luxuriante, en passant par les célèbres chutes d'Iguazu et les villes historiques de Salvador de Bahia et d'Ouro Preto, le Brésil offre une palette incroyablement variée d'expériences de voyage. Les visiteurs peuvent se délecter de la cuisine brésilienne, influencée par les traditions africaines, européennes et indigènes, participer aux célèbres carnavals colorés, explorer la biodiversité unique de l'Amazonie ou se détendre sur les plages ensoleillées. Le pays est également connu pour sa passion pour le football, qui fait partie intégrante de la culture brésilienne. Que vous souhaitiez découvrir la nature, l'histoire, la musique ou la gastronomie, le Brésil est une destination inoubliable.
 
En ce qui concerne l'accessibilité pour les personnes handicapées, le Brésil a pris des mesures pour améliorer l'accessibilité et l'inclusion des personnes handicapées. Dans les grandes villes, comme Rio de Janeiro et São Paulo, de nombreux hôtels, restaurants, centres commerciaux et attractions touristiques ont mis en place des installations accessibles, telles que des rampes d'accès, des ascenseurs, des toilettes adaptées et des places de stationnement réservées. ","Concernant l’accessibilité des personnes à mobilité réduite et en situation d’handicap, le pays doit encore faire des efforts (surtout pour circuler sur les trottoirs) même s’il est important de noter que depuis la coupe du monde de football, quelques améliorations ont été faites pour faciliter la circulation des personnes en fauteuil roulant.",Envolez-vous pour le 5ème pays le plus grand au monde par sa superficie et sa population. Le Brésil est réputé pour ses vastes espaces et sa culture avec les tribus amazoniennes.,Amérique du Sud,55,Rio de janeiro
